benchmark,bin_idx,tile_width,cir_fidelity,nbins,cir_coherence,cir_transfer_fidelity,cir_duration,n_aods,n_rows,selector_algo,selector_weight,set_size,compilation_time,planning_time,bundling_time,scheduling_time,placement_time,routing_time
dj_n16,1,37.5,0.8104620409065441,3,0.951559128497463,0.9379749638258461,4819.01110368423,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
cat_n22,2,57.0,0.7225274555011061,3,0.9016533556336671,0.9157205572498951,7220.168580248026,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
dj_n26,0,67.0,0.6770852297534421,3,0.88132296913773,0.9011784036598741,7452.334216834134,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
cat_n22,0,57.0,0.7292006695211171,3,0.9099809641808491,0.9157205572498951,6593.336239042218,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
ghz_n23,0,57.0,0.7158345898178481,3,0.9025614780496061,0.9120631656822731,6847.726393864482,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
multiply_n13,0,28.5,0.6413350535004481,3,0.9443142375354711,0.8554924148377161,7015.110324992847,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
wstate_n24,1,57.0,0.516197208475083,3,0.836971301929427,0.8252275899809911,11444.34349394603,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
hamsim_n18,1,47.0,0.7438850381867911,3,0.9045306985987881,0.930497374953234,8571.80846120533,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
bv_n19,1,47.0,0.7377251767590871,3,0.894180802330193,0.9267809647166121,8996.785619477243,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
qaoa_maxcut_n14,1,47.0,0.602321885055169,3,0.945351398937159,0.8727832416118031,6423.275344348749,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
swap_test_n25,2,97.0,0.362640690207016,3,0.818192822138179,0.697550671865103,12532.074776355594,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
dj_n16,2,37.5,0.8131301090328461,3,0.9546916929519271,0.9379749638258461,4510.889865221348,1,1,fifo,0,10,41.66392465215176,0.33213737793266773,5.2560120820999146e-05,40.9493039813824,0.010748462751507759,0.2349927080795169
dj_n26,0,67.0,0.6726325345805101,4,0.875527151479881,0.9011784036598741,7832.98741514464,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
graphstate_n20,0,47.0,0.7854486067772011,4,0.9711862643801231,0.9011784036598731,2322.77512850211,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
dj_n16,0,37.5,0.808608805359442,4,0.9493832545970301,0.9379749638258461,5033.629146889008,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
bv_n14,0,37.0,0.8349280591162701,4,0.9611373822385051,0.945512643502422,4414.634569108581,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
multiply_n13,0,28.5,0.639222778866617,4,0.941204083179451,0.8554924148377161,7395.763523303353,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
swap_test_n25,1,97.0,0.32759594540923304,4,0.753704187291343,0.6933758171534361,17461.558750052885,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
wstate_n27,1,67.0,0.47261663473528603,4,0.8152242835399091,0.805648229109544,11671.77828182475,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
cat_n22,1,57.0,0.7033348150412521,4,0.8777025582731771,0.9157205572498951,9055.785089201003,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
knn_n25,2,97.0,0.34251550779432405,4,0.7778343733956801,0.696156268072044,15568.33990802569,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
qaoa_maxcut_n14,2,47.0,0.6023929098759271,4,0.9454628732423921,0.8727832416118031,6410.641977073909,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
bv_n19,2,47.0,0.7468216506641441,4,0.9052064424886761,0.9267809647166121,8029.282740704637,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
hamsim_n18,3,47.0,0.7574396969994761,4,0.9210125531538831,0.930497374953234,7067.023297419082,1,1,fifo,0,12,52.26714799320325,0.3739521033130586,6.285961717367172e-05,51.44311692006886,0.016813143156468868,0.2678294721990824
knn_n25,0,97.0,0.33767317049392204,4,0.7718469750790281,0.694764651692169,16033.178044891205,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
dj_n26,0,67.0,0.6504422179432531,4,0.8466432903565551,0.9011784036598741,9768.37410580283,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
qaoa_maxcut_n14,0,47.0,0.601964766820246,4,0.9447908975983461,0.8727832416118031,6486.819466654553,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
ghz_n23,1,57.0,0.71064528876217,4,0.896018537407342,0.9120631656822731,7322.228944599603,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
bv_n19,1,47.0,0.762565063136124,4,0.9242886937647601,0.9267809647166121,6382.327657898253,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
